sentence,episode,emotion,emotion_score
no worries!,1,joy,0.7404159307479858
a whirlpool of that size\nposes no problem to this ship!,1,joy,0.9165104031562805
miss.,1,neutral,0.9711163640022278
may i have this dance?,1,neutral,0.8799253106117249
alright!,1,joy,0.5318570733070374
not again...,1,neutral,0.6353219747543335
batter out!,1,anger,0.9667834639549255
what're you doing? you suck!,1,joy,0.5288407206535339
this thing's heavy!,1,surprise,0.7118216753005981
"must be filled with booze, then!",1,neutral,0.773284375667572
it's all ours now!,1,joy,0.4672299921512604
ship off the starboard stern!,1,neutral,0.42842644453048706
there's a pirate flag on its mast!,1,surprise,0.9028139710426331
it's a pirate ship!\nenemy raid! enemy raid!,1,joy,0.349902480840683
captain! pirates!,1,joy,0.7267614603042603
what?!,1,surprise,0.9884170889854431
"everyone, stay calm!",1,fear,0.4576157331466675
stay calm!,1,anger,0.5043410062789917
follow instructions\nin a calm manner!,1,neutral,0.3945959806442261
fire!,1,anger,0.799872636795044
coby!,1,joy,0.855311930179596
"y-yes, ma'am?!",1,surprise,0.7638595700263977
who's the most beautiful\nof all on these seas?,1,joy,0.6060907244682312
"t-this ship's captain,\nalvida-sama, of course!",1,neutral,0.6618124842643738
well done!,1,joy,0.9208272099494934
t-thank you!,1,joy,0.9712574481964111
alvida-sama.\nthis is our first prey in a while.,1,neutral,0.9683591723442078
that's right!,1,joy,0.7856187224388123
alright! start pounding the ship!,1,anger,0.7141665816307068
"men! show them the terror of\niron club alvida, the woman pirate!",1,fear,0.8649653792381287
coby! what're you doing?!,1,surprise,0.975212574005127
i-i'm not good\nat this sort of thing...,1,sadness,0.8853568434715271
hmm?! are you tryin'\nto give me backtalk?!,1,anger,0.7652469277381897
"p-please, anything but the club!",1,anger,0.7479772567749023
then get yer ass in gear!,1,anger,0.7910098433494568
"we won't take yer lives, but\nwe will take all yer valuables!",1,joy,0.87960284948349
anyone who tries to fight back'll\nwind up at the bottom of the ocean!,1,anger,0.8838903307914734
hello...,1,neutral,0.990423321723938
"there's no one in here, right?",1,anger,0.46444860100746155
what a relief...,1,joy,0.9767217636108398
that's a rather large barrel...,1,neutral,0.9060410261154175
who're you?!\nnever seen you before!,1,surprise,0.9844767451286316
"hey, coward!",1,anger,0.9022504091262817
are you hidin' out in a\nplace like this again?!,1,anger,0.8927400708198547
n-no! i thought i'd haul this\nbig barrel of alcohol over...,1,surprise,0.5505045652389526
we'll lighten it for ya!,1,joy,0.9396993517875671
i was just feelin' thirsty!,1,joy,0.9604336619377136
you can't! alvida-sama\nwill kill us if she finds out!,1,fear,0.6885031461715698
then you just need\nto keep yer mouth shut!,1,neutral,0.3928429186344147
"right, coby?",1,neutral,0.976762592792511
y-yes! you're right!,1,joy,0.7917866110801697
thing's pretty heavy!,1,sadness,0.38839420676231384
can't wait!,1,joy,0.9791691899299622
hold yer horses!\ni'll bust it right open!,1,joy,0.5121232867240906
i slept great!,1,joy,0.991089940071106
huh?,1,neutral,0.7009415030479431
who're you guys?,1,surprise,0.9450902938842773
"no, who are you?!",1,surprise,0.9889050722122192
"that guy's gonna catch cold\nif he sleeps there, y'know.",1,neutral,0.9372454285621643
you did that!,1,surprise,0.4931968152523041
are you toyin' with us even\nwhen you know we're pirates?!,1,anger,0.8072533011436462
"man, i'm hungry!\nyou got any food?",1,neutral,0.7726438045501709
listen when people are talking!,1,anger,0.40611958503723145
you damn kid!,1,anger,0.7441131472587585
die!,1,joy,0.7054145932197571
what's the big idea?,1,neutral,0.6132463216781616
w-who are you?!,1,surprise,0.99115389585495
me?,1,neutral,0.7905155420303345
i'm monkey d. luffy.\nnice to meetcha!,1,joy,0.8766959309577942
what the... what just happened?,1,surprise,0.9738122820854187
what's with them?,1,surprise,0.5703738331794739
"r-run, hurry! if they come back\nwith their friends, you'll be killed!",1,anger,0.8425840735435486
"but man, i sure am hungry!",1,joy,0.7880911827087402
how can you be so carefree?!,1,surprise,0.662460207939148
there are still lots\nmore of them up on deck!,1,neutral,0.45582982897758484
c'mon! this way!,1,joy,0.7133162617683411
h-h-hey! not this way!,1,anger,0.5316666960716248
food! food! food! yes! food!,1,joy,0.9512295722961426
"actually, they might\nnot find us in here!",1,anger,0.3689086139202118
"which should i choose?\nthis box? ooh, jackpot!",1,joy,0.9546355605125427
these look great!,1,joy,0.960178792476654
"m-my name is coby.\nyou're luffy-san, right?",1,neutral,0.8375266790390015
that was incredible just now!\nhow did you do that?!,1,surprise,0.8915855288505554
these things are great!,1,joy,0.9865809679031372
is this a pirate ship?,1,surprise,0.9046157002449036
"no, it's a passenger ship that's\nbeing raided by alvida-sama.",1,neutral,0.8194612860679626
"well, it doesn't matter.",1,neutral,0.9104087352752686
do you know if there\nare any boats onboard?,1,neutral,0.9628063440322876
i-i think so...,1,neutral,0.9816491007804871
my ship got swallowed\nby this giant whirlpool...,1,sadness,0.3039601445198059
you mean that whirlpool?!\nno one could survive that!,1,anger,0.6668063402175903
"boy, was that a real surprise!",1,joy,0.5637311935424805
"are you one of those pirates, too?",1,neutral,0.8215948939323425
it was on that fateful day...,1,neutral,0.8066240549087524
"that day, i got in a boat on\nthe outskirts of town to go fishing...",1,neutral,0.7450736165046692
...but it turned out the boat was\nactually headed for a pirate ship.,1,surprise,0.8866322040557861
it's been two years since...,1,sadness,0.8000145554542542
"in exchange for my life,\ni've been forced to be a chore boy.",1,sadness,0.8729454874992371
"man, you're dumb and stupid!",1,anger,0.6799166202545166
you're brutally honest...,1,neutral,0.9270408153533936
"if you don't like it, then run away!",1,anger,0.9390538930892944
i-i can't! no way! no way!,1,fear,0.42078542709350586
just the thought\nof alvida-sama finding me...,1,neutral,0.8381743431091309
...frightens me and makes\nme weak in the knees--,1,neutral,0.45171067118644714
