sentence,episode,matched_name,cleaned_sentence
"rumble i'm sorry, doctorine... just like doctor gave his life to save the country... i'll risk my life to save my nakama. if i'm gonna die anyway... then i'll do it! but please... nobody come into this room!",293,tony tony chopper,rumble sorry doctorine like doctor life save country risk life save nakama die come room
"shit... even this week's ""super me""... had more trouble than i'd imagined... but... i got the key. number four, huh? the one the swordsman and long-nose wanted was number two, right? so if this guy had four, and that guy had three...",293,franky,shit week super trouble imagine key number huh swordsman longnose want number
then that means the number two key is held by that secretary woman! i should hurry... i need to go help!,293,franky,mean number key hold secretary woman hurry need help
making fun of me... you'll pay for this!,293,nami,make fun pay
"a devil fruit user, taking a bath right in front of their enemy... if at least half your body submerged, you should lose your power!",293,nami,devil fruit user bath enemy half body submerge lose power
what did you do to me?,293,nami,
"the one who did that to sanji-kun has to be this woman... i have to be careful! otherwise, there'll be no purpose to me taking his place! my strength's coming back a little. i'll show you... the power of the perfect clima tact! if you think i'm just a cute face, you're sadly mistaken! i can move my legs... here i go... thunder charge! swing arm!",293,nami,sanjikun woman careful purpose place strength come little power perfect clima tact think cute face sadly mistaken leg thunder charge swing arm
i'm not just gonna sit and let you beat me. thunderbolt...,293,nami,sit beat thunderbolt
"you gave me too much time, so that's what happens.",293,nami,time happen
what? the form she had when guarding against the lightning... it disappeared into bubbles!,293,nami,form guard lightning disappear bubble
"it really is soap turning into bubbles... you're a soap-human who ate the awa-awa no mi,",293,nami,really soap turn bubble soaphuman eat awaawa
looks like i was right... is that bad?,293,nami,look like bad
"wow, she's so sexy! if i had a secretary like this, i'd be so happy... no, i'm not an old pervert! but isn't that useless in battle? it doesn't seem too powerful.",293,nami,wow sexy secretary like happy old pervert useless battle powerful
what?,293,nami,
the bubbles from the bathtub?,293,nami,bubble bathtub
this...,293,nami,
are you an idiot?,293,nami,idiot
"that's right... that had to be part of this woman's power as well. bubbles! that's right, when i first stepped into the room... the floor was covered in bubbles. no!",293,nami,woman power bubble step room floor cover bubble
i'm losing my strength... before... it was from when i stepped on the bubbles when i first came in...,293,nami,lose strength step bubble come
i can move... all the bubbles from before are gone. i won't let you do any more... thunder ball!,293,nami,bubble thunder ball
what are you doing?! i can't stand up... w-what happened to my legs?,293,nami,stand wwhat happen leg
"i still don't know what's going on. so i'll go get some more cola. maybe i can see how that deer's doing... what's that? what... is this? that's the cp9 that was in the fridge... what? this monster beat him? what's going on? wasn't that deer wearing that same hat? oi, you! aren't you that deer-gorilla?",293,franky,know cola maybe deer cp9 fridge monster beat deer wear hat deergorilla
"oi... this is a joke, right?",293,marine,joke
he came flying from the tower of justice! but that's... who could have done that?!,293,marine,come fly tower justice
damn... what the hell's up with him?,293,franky,damn hell
a voice.,293,nico robin,voice
it's an order. keep moving. nico robin.,293,rob lucci,order nico robin
robin!,293,monkey d. luffy,robin
"director, you take nico robin, and please, hurry on ahead.",293,rob lucci,director nico robin hurry ahead
"a door? looks like this one isn't made of steel... it got really wide! where am i? i found you, pigeon-guy!",293,monkey d. luffy,door look like make steel really wide pigeonguy
you finally made it.,293,rob lucci,finally make
wait! you... that's...!,293,nico robin,wait
what... ...is this?,294,franky,
a voice.,294,nico robin,voice
it's an order. keep moving. nico robin.,294,rob lucci,order nico robin
robin!,294,monkey d. luffy,robin
"it got really wide! where am i? i found you, pigeon-guy!",294,monkey d. luffy,really wide pigeonguy
let me congratulate you on making it this far all alone.,294,rob lucci,congratulate make far
"i'm not alone. i didn't come alone. i wouldn't want to come alone. i'm different from you guys, i'm not alone! all of my nakama are gonna make it here!",294,monkey d. luffy,come want come different nakama make
i finally got the hang of this.,294,roronoa zoro,finally hang
i'm getting dizzy...,294,usopp,dizzy
sailors shouldn't talk like that!,294,roronoa zoro,sailor talk like
"i'm not a sailor, i'm a hero from sniper island! my friend usopp-kun is a sailor, but-",294,usopp,sailor hero sniper island friend usoppkun sailor
don't talk about stupid stuff.,294,roronoa zoro,talk stupid stuff
this is bad!,294,usopp,bad
prepare yourself.,294,roronoa zoro,prepare
got it!,294,usopp,
and don't do anything stupid.,294,roronoa zoro,stupid
"got it! no wait, i'm gonna die! you're gonna kill me!",294,usopp,wait die kill
"it's no good... i'm all slippery, so i can't stand up... anyway, that's a pretty weird ability.",294,nami,good slippery stand pretty weird ability
"oh, yes, thank you. but... isn't there a limit to it?",294,nami,yes thank limit
"wait, then do it to yourself!",294,nami,wait
"woah, she's weird.",294,nami,woah weird
nothing. just you wait... i'm gonna launch my counter-attack.,294,nami,wait launch counterattack
"ow ow ow... damn that deer-gorilla... i guess i underestimated him... but more importantly, i need to get the key. if i don't get to that secretary soon, then... deer-gorilla! wait a second, you!",294,franky,damn deergorilla guess underestimate importantly need key secretary soon deergorilla wait second
"all available troops, report to the front of the courthouse! this is urgent! don't falter! capture the traitors!",294,marine,available troop report courthouse urgent falter capture traitor
"we need to keep firing on them! firing squad, concentrate your fire on karsee! now! get him! we can't lose now! go!",294,marine,need firing squad concentrate karsee lose
next is oimo! shoot him down!,294,marine,oimo shoot
wait! you... that's...!,294,nico robin,wait
"the silver denden mushi has received a signal! a buster call has been requested! a buster call has been requested by admiral aokiji! where? enies lobby. call the five vice-admirals nearest to our destination. at this distance, it's quickest to leave from the headquarters. how long? we can arrive in 30 minutes. prepare ten battleships immediately. call in five vice-admirals. quickly! yes sir! a buster call has been requested! our destination is enies lobby! prepare ten battleships immediately!",294,marine,silver denden mushi receive signal buster request buster request admiral aokiji enies lobby viceadmirals nearest destination distance quick leave headquarters long arrive minute prepare battleship immediately viceadmirals quickly yes sir buster request destination enies lobby prepare battleship immediately
"what is this, an announcement?",294,marine,announcement
how could you... stop it immediately!,294,nico robin,stop immediately
that's robin's voice!,294,monkey d. luffy,robin voice
things are going to get very bad!,294,nico robin,thing bad
robin!,294,nami,robin
"oi, don't move!",294,marine,
"that's director spandam's voice, right?",294,marine,director spandam voice
but that's... didn't i tell you?! that isn't all! that attack doesn't have any humanity!,294,nico robin,tell attack humanity
the director and... who's that woman?,294,marine,director woman
"everything in enies lobby will go up in flames! the buildings, the people... even the island itself...! a nightmarish attack, sacrificing anything to achieve its goal... that's the buster call! you have no idea what happened on ohara 20 years ago!",294,nico robin,enies lobby flame building people island nightmarish attack sacrifice achieve goal buster idea happen ohara year ago
sacrifice us? he's gotta be kidding!,294,marine,sacrifice kid
what do you think people's lives are?!,294,nico robin,think people life
that denden mushi... it's still on.,294,nico robin,denden mushi
liar!,294,marine,liar
"everyone, leave the island! a buster call is headed towards enies lobby! nobody on the island will be safe!",294,nico robin,leave island buster head enies lobby island safe
a buster call...,294,marine,buster
"well, it sounds like we're in danger.",294,roronoa zoro,sound like danger
i'm the one in danger!,294,usopp,danger
don't worry. we're used to this kinda thing.,294,nami,worry use kinda thing
a buster call was called! battleships are coming! get outta enies lobby!,294,marine,buster battleship come outta enies lobby
"it's the buster call! if we stay here, we'll die! bring the ships to the main gate! prepare to sail! the marines... are coming to attack!",294,marine,buster stay die bring ship main gate prepare sail marine come attack
i've got it.,294,roronoa zoro,
what? what did you get? a way to get off the handcuffs? a way to get out of here?,294,usopp,way handcuff way
"you are... the named sword, ""hana-arashi"".",294,roronoa zoro,sword hanaarashi
this isn't the time for that! chopper! aren't you done yet?!,294,usopp,time chopper
what was that? where was robin talking from?,294,monkey d. luffy,robin talk
the other side of this door. i'm not going to let you through.,294,rob lucci,door
move. robin's gotta be through that door!,294,monkey d. luffy,robin door
she's there. you're not seeing her. ever again.,294,rob lucci,
no. i'm gonna go see her! i'm going now! robin!,294,monkey d. luffy,robin
what's this? my whole body is...,294,nami,body
mirage tempo. i'm over here!,294,nami,mirage tempo
wait! you... that's...!,295,nico robin,wait
"the silver denden mushi has received a signal! a buster call has been requested! a buster call has been requested by admiral aokiji! where? enies lobby. call the five vice-admirals closest to our destination. at this distance, it's quickest to leave from the headquarters. how long will it take? we can arrive in 30 minutes. prepare ten battleships immediately. call in five vice-admirals. quickly! yes, sir! a buster call has been requested! our destination is enies lobby! prepare ten battleships immediately!",295,marine,silver denden mushi receive signal buster request buster request admiral aokiji enies lobby viceadmirals closest destination distance quick leave headquarters long arrive minute prepare battleship immediately viceadmirals quickly yes sir buster request destination enies lobby prepare battleship immediately
"everyone, leave the island! a buster call is headed towards enies lobby! nobody on the island will be safe!",295,nico robin,leave island buster head enies lobby island safe
a buster call was called! battleships are coming! get outta enies lobby!,295,marine,buster battleship come outta enies lobby
what was that? where was robin talking from?,295,monkey d. luffy,robin talk
the other side of this door. i'm not going to let you through.,295,rob lucci,door
move. robin's gotta be through that door!,295,monkey d. luffy,robin door
she's there. you're not seeing her. ever again.,295,rob lucci,
no. i'm gonna go see her! i'm going now! robin!,295,monkey d. luffy,robin
call off the buster call immediately. it should still be possible!,295,nico robin,buster immediately possible
that will never happen.,295,nico robin,happen
everybody is... luffy is coming. soon.,295,nico robin,everybody luffy come soon
luffy... everyone... luffy... everyone...,295,nico robin,luffy luffy
robin!,295,monkey d. luffy,robin
"it's a buster call! battleships are coming! if we stay here, they're even gonna take us out! run!",295,marine,buster battleship come stay run
"if you're running away, leave your key.",295,nami,run away leave key
crap...,295,nami,crap
"the attack that got sanji-kun... i even knew what to avoid... i can't hold the clima tact... my whole body's smooth, so... i can't stand too well! what did you do to my body?!",295,nami,attack sanjikun know avoid hold clima tact body smooth stand body
i-i can't do that! cool charge!,295,nami,cool charge
mirage tempo! i'm over here.,295,nami,mirage tempo
"over here, over here! what is that?",295,nami,
dumb blonde.,295,nami,dumb blonde
"go, meitou hana-arashi!",295,roronoa zoro,meitou hanaarashi
"yosh, well done.",295,roronoa zoro,yosh
"again? zoro-kun, this plan isn't going to work. how about i give you advice on a different plan?",295,usopp,zorokun plan work advice different plan
"no, wait. the enemy's about to finally get a taste... of hana-arashi's true power.",295,roronoa zoro,wait enemy finally taste hanaarashi true power
r-really?,295,usopp,rreally
"zoro-kun, i have prepared myself! shall we do this? this is the turning point, with a new plan! go, without hesitation!",295,usopp,zorokun prepare shall turn point new plan hesitation
well said. meitou hana-arashi. hissatsu makie,295,roronoa zoro,say meitou hanaarashi hissatsu makie
makie?,295,usopp,makie
"a name that brings out the beauty in hana-arashi perfectly! i like it, zoro-kun! u-um...",295,usopp,bring beauty hanaarashi perfectly like zorokun uum
"z-zoro-kun, what exactly...",295,usopp,zzorokun exactly
you mean it's that makie?,295,usopp,mean makie
i don't taste good! you mean i was just a decoy? what's up with you?,295,usopp,taste good mean decoy
one more time. hissatsu makie,295,roronoa zoro,time hissatsu makie
"you're abusing me again? you've got that ""hissatsu"" all wrong! i'm the one who's gonna die...",295,usopp,abuse hissatsu wrong die
"i told you that's not me! but... that thing... it looks like a reindeer... and it has that hat, and the symbol... but, it can't really be chopper!",295,nami,tell thing look like reindeer hat symbol really chopper
"wait! stop! chopper! hey, you are chopper, right? how did you get like that...? you don't recognize me because of my body? aren't you chopper?",295,nami,wait stop chopper hey chopper like recognize body chopper
chopper!,295,nami,chopper
"chopper! what's wrong? look closely, it's me! nami! chopper! chopper, stop it! sanji-kun was at the bottom of the stairs...",295,nami,chopper wrong look closely nami chopper chopper stop sanjikun stair
"don't touch him! he's my nakama! what happened to chopper? this is bad, i need to hurry and stop him!",295,nami,touch nakama happen chopper bad need hurry stop
no! i can't dodge when my whole body's like this! i dodged? one of my legs is back to normal! why? what happened? it's wet... in all the confusion before... yes! water! the soap power can be washed away with water!,295,nami,dodge body like dodge leg normal happen wet confusion yes water soap power wash away water
"i'll blow those bubbles away with wind! cyclone- damn! no, my strength is...",295,nami,blow bubble away wind cyclone damn strength
the tact...,295,nami,tact
i'm saved...,295,nami,save
"when you send me flying, you also get rid of the other bubbles.",295,nami,send fly rid bubble
the weather is cloudy! cloudy tempo! it's not a magic show like it used to be!,295,nami,weather cloudy cloudy tempo magic like use
"lightning doesn't come from thin clouds like this. instead, they'll do something else.",295,nami,lightning come cloud like instead
the weather is rainy! cool ball!,295,nami,weather rainy cool ball
rain! rain tempo!,295,nami,rain rain tempo
"if giving in is nice, then i have to refuse. cool charge! mirage tempo!",295,nami,nice refuse cool charge mirage tempo
"i understand your powers, and cp9's strength.",295,nami,understand power cp9 strength
mirage tempo fata morgana!,295,nami,mirage tempo fata morgana
franky! what the hell are you doing?!,295,roronoa zoro,franky hell
stop being stupid!,295,usopp,stop stupid
"chopper! what's wrong? look closely, it's me! nami! chopper! chopper, stop it!",296,nami,chopper wrong look closely nami chopper chopper stop
no! i can't dodge when my whole body's like this! i dodged? one of my legs is back to normal! why? what happened? it's wet... in all the confusion before... yes! water! the soap power can be washed away with water!,296,nami,dodge body like dodge leg normal happen wet confusion yes water soap power wash away water
"i'll blow those bubbles away with wind! cyclone- damn! no, my strength is...",296,nami,blow bubble away wind cyclone damn strength
the tact...,296,nami,tact
i'm saved...,296,nami,save
"when you send me flying, you also get rid of the other bubbles.",296,nami,send fly rid bubble
the weather is cloudy! cloudy tempo! it's not a magic show like it used to be!,296,nami,weather cloudy cloudy tempo magic like use
"lightning doesn't come from thin clouds like this. instead, they'll do something else.",296,nami,lightning come cloud like instead
the weather is rainy! cool ball!,296,nami,weather rainy cool ball
rain! rain tempo!,296,nami,rain rain tempo
"if giving in is nice, then i have to refuse. cool charge! mirage tempo!",296,nami,nice refuse cool charge mirage tempo
"i understand your powers, and cp9's strength.",296,nami,understand power cp9 strength
mirage tempo fata morgana!,296,nami,mirage tempo fata morgana
"that's right. one is me, the others are just distortions caused by the extreme cold, illusions in the air itself.",296,nami,distortion cause extreme cold illusion air
exactly.,296,nami,exactly
thunder charge. the real one of me is among these five.,296,nami,thunder charge real
so... thunder ball! only 20% of these attacks are real. can you dodge them?,296,nami,thunder ball attack real dodge
"but that was 100% of the power. didn't i tell you? you're too careless. the clima tact is a lot different from before. this much power in a simple thunder ball... with my next big attack, i'll defeat you.",296,nami,100 power tell careless clima tact lot different power simple thunder ball big attack defeat
it's not a promise. it's a forecast. i have control over the humidity and temperature. the weather in this room is all mine!,296,nami,promise forecast control humidity temperature weather room
"the probability of finding the real one... is 20%. in today's sky... in a field of stable pressure... there will be violent currents, and some storm clouds. soon, the lightning and thunder may even pierce your chest. be careful of the numbness of the heart! dark cloud tempo!",296,nami,probability real today sky field stable pressure violent current storm cloud soon lightning thunder pierce chest careful numbness heart dark cloud tempo
"when you guard like that, you have the disadvantage of being unable to move.",296,nami,guard like disadvantage unable
"if that hits me, it's all over!",296,nami,hit
you think i'll let that happen? cyclone tempo!,296,nami,think happen cyclone tempo
did you forget? you need to listen to a navigator's weather forecast. lightning will come forth from the storm cloud to the clima tact. come!,296,nami,forget need listen navigator weather forecast lightning come forth storm cloud clima tact come
"thunder lance tempo! no matter how strong you are, my forecasts are always right. my nakama are waiting. i'm taking your key!",296,nami,thunder lance tempo matter strong forecast nakama wait key
bastard... damn deer-gorilla... this whole island's in trouble! everybody... you'd better be safe!,296,franky,bastard damn deergorilla island trouble everybody safe
"chopper, aren't you done?!",296,usopp,chopper
made it!,296,monkey d. luffy,make
deer-gorilla! where are you?,296,franky,deergorilla
franky? why were you there?,296,nami,franky
"oh, oneechan.",296,franky,oneechan
"that deer-gorilla of yours came this way, right?",296,franky,deergorilla come way
deer...? chopper?,296,nami,deer chopper
"yeah, the deer-gorilla.",296,franky,yeah deergorilla
"yes, he did! what was that? what happened to chopper?!",296,nami,yes happen chopper
how would i know? i was gonna ask you! can't he change into that kinda thing?,296,franky,know ask change kinda thing
"i don't know, i've never seen him like that before!",296,nami,know like
"really? i thought you guys would know how to deal with him... well, let's just go kill him then...",296,franky,really think know deal kill
if you say that again... i'll be the one to kill you!,296,nami,say kill
"i-i won't say it again... never again. but anyway, if we don't do anything, and we just let him rampage like that... we don't know what'll happen to this tower.",296,franky,say rampage like know happen tower
yeah... it doesn't seem like he'll listen to us... and he didn't even seem to recognize me. he might have lost his memories.,296,nami,yeah like listen recognize lose memory
what caused this?,296,franky,cause
"i'm not sure, but it probably has something to do with his devil fruit.",296,nami,sure probably devil fruit
"then there'll only be one way to deal with it... anyway, good job! you took this woman out? we need the key she had, the number two key.",296,franky,way deal good job woman need key number key
"the key? just a sec, i was just looking for it. key, key... where did she hide it?",296,nami,key sec look key key hide
now that's great.,296,franky,great
"stay away, stay away! you know, i have 8000 men who will... actually, they're my friend usopp-kun's. but anyway, they're gonna attack this island, so please just stop this and get away!",296,usopp,stay away stay away know 8000 men actually friend usoppkun attack island stop away
let's change our plan.,296,usopp,change plan
"w-wait, calm down!",296,usopp,wwait calm
"you can't let yourself drop it, be more careful!",296,roronoa zoro,drop careful
"this is dangerous, it'd be best if we could detach ourselves safely. i want to get this guy off of me.",296,roronoa zoro,dangerous best detach safely want
chopper! hurry and save us! what's that monster?,296,usopp,chopper hurry save monster
there was another zoan fruit user?,296,roronoa zoro,zoan fruit user
this guy's cp9 too? but he seems familiar.,296,usopp,cp9 familiar
"chopper, it's us!",296,roronoa zoro,chopper
stop it!,296,usopp,stop
"oi, is that thing really chopper? why the hell doesn't he recognize us?!",296,roronoa zoro,thing really chopper hell recognize
"i don't know, but it has to be chopper! there isn't anything else with that hat and those horns!",296,usopp,know chopper hat horn
"then, what about our hope? the number two key?",296,roronoa zoro,hope number key
"i don't know, we're done for, we're gonna die...",296,usopp,know die
but it's strange... he's the one that looks close to death. his life force is draining really fast.,296,roronoa zoro,strange look close death life force drain really fast
w-what are you talking about?,296,usopp,wwhat talk
it's like just being in that form uses a huge amount of energy...,296,roronoa zoro,like form use huge energy
what?! what can we do about it? what about the key?! where's the number two key?!,296,usopp,key number key
"i don't know what happened, but he probably fought as hard as he could, and he turned into that.",296,roronoa zoro,know happen probably fight hard turn
and now...,296,usopp,
they're gonna get chopper!,296,usopp,chopper
"straighten your back, hana-arashi!",296,roronoa zoro,straighten hanaarashi
what are you doing?!,296,usopp,
sanjuuroku pondo hou!,296,roronoa zoro,sanjuuroku pondo hou
"outta the way, you guys!",296,franky,outta way
"he's- franky! what the hell're you trying to do, these guys are our-",296,roronoa zoro,hes franky hell try
"i know, shut up. this is the only solution. devil fruit users have one weakness... i'll shoot him into the sea sorry, but this is what i have to do! coup de vent!",296,franky,know shut solution devil fruit user weakness shoot sea sorry coup vent
"franky, you bastard, what the hell're you doing, you can't do that kinda thing to our nakama!",296,usopp,franky bastard hell kinda thing nakama
don't worry. we already worked it out together.,296,nami,worry work
"don't laugh, you should be regretful. a chance to kill me like you could before will never come again. world government!",296,roronoa zoro,laugh regretful chance kill like come world government
please! don't kill usopp!,296,nami,kill usopp
stop!,296,nami,stop
you need to listen to a navigator's weather forecast. come!,297,nami,need listen navigator weather forecast come
"thunder lance tempo! no matter how strong you are, my forecasts are always right. my nakama are waiting. i'm taking your key!",297,nami,thunder lance tempo matter strong forecast nakama wait key
"chopper, it's us!",297,roronoa zoro,chopper
stop it!,297,usopp,stop
"oi, is that thing really chopper? why the hell doesn't he recognize us?!",297,roronoa zoro,thing really chopper hell recognize
"i don't know, but it has to be chopper! there isn't anything else with that hat and those horns!",297,usopp,know chopper hat horn
"outta the way, you guys!",297,franky,outta way
"he's- franky! what the hell're you trying to do, these guys are our-",297,roronoa zoro,hes franky hell try
"i know, shut up. this is the only solution. devil fruit users have one weakness... i'll shoot him into the sea sorry, but this is what i have to do! coup de vent!",297,franky,know shut solution devil fruit user weakness shoot sea sorry coup vent
"franky, you bastard, what the hell're you doing, you can't do that kinda thing to our nakama!",297,usopp,franky bastard hell kinda thing nakama
don't worry. we already worked it out together.,297,nami,worry work
"don't laugh, you should be regretful. a chance to kill me like you could before will never come again. world government!",297,roronoa zoro,laugh regretful chance kill like come world government
